PENTAD,PENTAD ID,POINT SITE FARM,BioGaps Track No,Track Date ,Track time,Family,Genus,SPECIES,NO_SPEC,DETERMINED,Country,Prov,Distr,Locality,QDS,LAT1,LONG1,LATDEC1,LONDEC1,LAT2,LONG2,LATDEC2,LONDEC2,ALT,DD1,MM1,YYYY1,DD2,MM2,YYYY2,Collectors,MAIN VEGETATION TYPE,BIOREGION,GENERAL HABITAT,COLLECTION METHOD,WEATHER AT NIGHT,SPECIMEN DATA
3240_2020,2223,Rooiheuwel,2017/02/17 22:34,2017/02/17, 22:34:35,Buthidae,Uroplectes,carinatus,12,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°41'03.9""S","20°21'39.3""E",-32.68441667,20.36091667,,,,,639 m,17,2,2017,18,2,2017,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm","fairly common, sitting on bushes or ground"
3240_2020,2223,Rooiheuwel,2017/02/17 22:34,2017/02/17, 22:34:35,Scorpionidae,Opistophthalmus,laticauda,7,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°41'03.9""S","20°21'39.3""E",-32.68441667,20.36091667,,,,,639 m,17,2,2017,18,2,2017,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm","uncommon, male on surface, female, juv. excavated from burrows ca. 20 cm deep in open ground in clayey area"
3240_2020,2223,Rooiheuwel,2017/02/17 22:34,2017/02/17, 22:34:35,Scorpionidae,Opistophthalmus,pallipes,5,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°41'03.9""S","20°21'39.3""E",-32.68441667,20.36091667,,,,,639 m,17,2,2017,18,2,2017,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm",uncommon along edge of riverbed and in rocky areas
3240_2020,2223,Rooiheuwel,2017/02/17 22:41,2017/02/17, 22:41:03,Buthidae,Parabuthus,capensis,4,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°41'03.9""S","20°21'39.3""E",-32.68441667,20.36091667,,,,,639 m,17,2,2017,18,2,2017,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm",sitting or walking on ground or bushes
3240_2020,2223,Rooiheuwel,2017/02/17 22:41,2017/02/17, 22:41:03,Scorpionidae,Opistophthalmus,pallipes,5,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°41'03.9""S","20°21'39.3""E",-32.68441667,20.36091667,,,,,639 m,17,2,2017,18,2,2017,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm",uncommon along edge of riverbed and in rocky areas
3240_2020,2223,Rooiheuwel,2017/02/17 23:49,2017/02/17, 23:49:51,Buthidae,Parabuthus,capensis,1,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°40'03.9""S","20°21'48.9""E",-32.66775,20.36358333,,,,,628 m,17,2,2017,,,,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm","uncommon, sitting or walking on ground or bushes"
3240_2020,2223,Rooiheuwel,2017/02/17 23:49,2017/02/17, 23:49:51,Buthidae,Uroplectes,ansiedippenaarae,2,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°40'03.9""S","20°21'48.9""E",-32.66775,20.36358333,,,,,628 m,17,2,2017,,,,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm","sitting on ground in open, rocky area"
3240_2020,2223,Rooiheuwel,2017/02/17 23:49,2017/02/17, 23:49:51,Buthidae,Uroplectes,carinatus,5,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°40'03.9""S","20°21'48.9""E",-32.66775,20.36358333,,,,,628 m,17,2,2017,,,,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm","uncommon, sitting on bushes or ground"
3240_2020,2223,Rooiheuwel,2017/02/17 23:49,2017/02/17, 23:49:51,Scorpionidae,Opistophthalmus,laticauda,1,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°40'03.9""S","20°21'48.9""E",-32.66775,20.36358333,,,,,628 m,17,2,2017,,,,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm","male sitting on ground in open, rocky area"
3240_2020,2223,Rooiheuwel,2017/02/17 23:49,2017/02/17, 23:49:51,Scorpionidae,Opistophthalmus,pallipes,3,"L. Prendini, 2017",South Africa,Western Cape Prov.,Ceres Distr.,"Farm Rooiheuwel on Roodeheuvel 170, N of homestead",3220CB,"32°40'03.9""S","20°21'48.9""E",-32.66775,20.36358333,,,,,628 m,17,2,2017,,,,L. Prendini & R. Christiaan,Koedoesberge-Moordenaars Karoo,Rainshadow Valley Karoo Bioregion,"succulent karoo on flat plain with dry watercourse and low rocky ridges in places, other areas with flat, clayey plains along riverbed, soil hard reddish-brown clayey-loam to sandy-clay, scattered Acacia karoo along riverbed, spiny bushes and mesems elsewhere","night, UV light detection","warm night, mostly still with light breeze, dark from sunset to 11:45 pm",uncommon along edge of riverbed and in rocky areas
